cat_id,cat_name,cat_slug,cat_posttype,cat_parent,cat_schema,cat_font_icon,cat_color,cat_description,cat_top_description,cat_bottom_description,cat_image,cat_icon
207,"Work Vans",work-vans,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
208,Trucks,trucks,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
209,"Tractors &amp; Farming Vehicles",tractors-farming-vehicles,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
210,"Spare parts for Cars",spare-parts-for-cars,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
211,Motorbikes,motorbikes,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
212,Mopeds,mopeds,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
213,Vespa,vespa,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
214,"Moped Car",moped-car,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
215,"Spare parts for bikes",spare-parts-for-bikes,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
216,"Bike Helmets &amp; Clothing",bike-helmets-clothing,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
217,"Other Bikes",other-bikes,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
219,"Little Kid Clothing &amp; Shoes (4-6 years)",little-kid-clothing-shoes-4-6-years,gd_place,"CHILDREN &amp; ACCESSORIES",,,,,,,,
220,"Big Kid Clothing &amp; Shoes (7-9)",big-kid-clothing-shoes-7-9,gd_place,"CHILDREN &amp; ACCESSORIES",,,,,,,,
221,"Older Kids &amp; Shoes(10-15)",older-kids-shoes10-15,gd_place,"CHILDREN &amp; ACCESSORIES",,,,,,,,
222,"Young People &amp; Shoes (16-24)",young-people-shoes-16-24,gd_place,"CHILDREN &amp; ACCESSORIES",,,,,,,,
224,"Clothes for Men",clothes-for-men,gd_place,"CLOTHING &amp; SHOES",,,,,,,,
225,"Shoes for Men",shoes-for-men,gd_place,"CLOTHING &amp; SHOES",,,,,,,,
226,"Clothes for Women",clothes-for-women,gd_place,"CLOTHING &amp; SHOES",,,,,,,,
227,"Shoes for Women",shoes-for-women,gd_place,"CLOTHING &amp; SHOES",,,,,,,,
228,"Children’s Clothes",childrens-clothes,gd_place,"CLOTHING &amp; SHOES",,,,,,,,
229,"Clothing Accessories",clothing-accessories,gd_place,"CLOTHING &amp; SHOES",,,,,,,,
230,"Fashion &amp; Design",fashion-design,gd_place,"CLOTHING &amp; SHOES",,,,,,,,
231,"Other Clothing &amp; Shoes",other-clothing-shoes,gd_place,"CLOTHING &amp; SHOES",,,,,,,,
232,"Currency &amp; Coins",currency-coins,gd_place,COLLECTIBLES,,,,,,,,
233,Stamps,stamps,gd_place,COLLECTIBLES,,,,,,,,
234,"Funko Pops",funko-pops,gd_place,COLLECTIBLES,,,,,,,,
235,"Comic Books &amp; Magazines",comic-books-magazines,gd_place,COLLECTIBLES,,,,,,,,
236,Militaria,militaria,gd_place,COLLECTIBLES,,,,,,,,
237,"Vintage Magazines",vintage-magazines,gd_place,COLLECTIBLES,,,,,,,,
238,"Vintage Toys, Dolls &amp; Figurines",vintage-toys-dolls-figurines,gd_place,COLLECTIBLES,,,,,,,,
239,"Sports Cards",sports-cards,gd_place,COLLECTIBLES,,,,,,,,
240,"Vintage Bakeware",vintage-bakeware,gd_place,COLLECTIBLES,,,,,,,,
241,"Vintage Books",vintage-books,gd_place,COLLECTIBLES,,,,,,,,
242,"Vintage Musical Instruments",vintage-musical-instruments,gd_place,COLLECTIBLES,,,,,,,,
243,"Vintage Shoes",vintage-shoes,gd_place,COLLECTIBLES,,,,,,,,
244,"Vintage Gold Clubs",vintage-gold-clubs,gd_place,COLLECTIBLES,,,,,,,,
245,"Vintage Tools",vintage-tools,gd_place,COLLECTIBLES,,,,,,,,
246,"Retro Gaming Sets",retro-gaming-sets,gd_place,COLLECTIBLES,,,,,,,,
247,"Vintage Cars",vintage-cars,gd_place,COLLECTIBLES,,,,,,,,
248,"Vintage Postcards",vintage-postcards,gd_place,COLLECTIBLES,,,,,,,,
249,Jewellery,jewellery,gd_place,COLLECTIBLES,,,,,,,,
250,Pens,pens,gd_place,COLLECTIBLES,,,,,,,,
251,"Fridge Magnets",fridge-magnets,gd_place,COLLECTIBLES,,,,,,,,
252,"Vintage Vinyl Records",vintage-vinyl-records,gd_place,COLLECTIBLES,,,,,,,,
253,"Vintage Pipes for smoking &amp; Accessories",vintage-pipes-for-smoking-accessories,gd_place,COLLECTIBLES,,,,,,,,
256,Computers,computers,gd_place,"COMPUTERS &amp; TABLETS",,,,,,,,
257,Tablets,tablets,gd_place,"COMPUTERS &amp; TABLETS",,,,,,,,
